epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12877.9,1.21843,0.60473,0.8475,0.91748,0.80757,0.87325,0.58735,1.15184,0.54438,0.83216,0.0095941,0.0095941,0.0095941
43,13186.5,1.21751,0.60242,0.84704,0.91747,0.8087,0.87359,0.58804,1.15018,0.5434,0.83193,0.0095842,0.0095842,0.0095842
44,13491.5,1.21396,0.60112,0.84703,0.91768,0.81033,0.87455,0.58907,1.14828,0.54232,0.83166,0.0095743,0.0095743,0.0095743
45,13797.3,1.21479,0.60165,0.84661,0.91711,0.81057,0.87479,0.5896,1.14665,0.54118,0.83139,0.0095644,0.0095644,0.0095644
46,14098.8,1.21255,0.60035,0.84622,0.91722,0.81184,0.87564,0.59039,1.14497,0.54015,0.83119,0.0095545,0.0095545,0.0095545
47,14404.8,1.21018,0.59871,0.84609,0.91832,0.81178,0.87622,0.59122,1.1433,0.53909,0.83094,0.0095446,0.0095446,0.0095446
48,14709.5,1.20993,0.59941,0.84613,0.91893,0.81182,0.87678,0.5917,1.14161,0.53807,0.83066,0.0095347,0.0095347,0.0095347
49,15015,1.21121,0.59834,0.84536,0.91909,0.81266,0.8775,0.59233,1.14003,0.53696,0.83046,0.0095248,0.0095248,0.0095248
50,15320.5,1.2052,0.5962,0.84578,0.92011,0.81295,0.87783,0.59308,1.13877,0.53592,0.83026,0.0095149,0.0095149,0.0095149
51,15625.8,1.21097,0.59764,0.84547,0.91955,0.81442,0.87835,0.59349,1.13731,0.53487,0.83003,0.009505,0.009505,0.009505
52,15930.5,1.20789,0.59787,0.84532,0.91952,0.81504,0.87863,0.59388,1.13584,0.53374,0.82979,0.0094951,0.0094951,0.0094951
53,16236,1.20616,0.5963,0.84502,0.91982,0.81543,0.87891,0.5944,1.13428,0.533,0.82962,0.0094852,0.0094852,0.0094852
54,16535.8,1.20407,0.5958,0.84463,0.91877,0.81669,0.87929,0.59482,1.13324,0.53212,0.8295,0.0094753,0.0094753,0.0094753
55,16842.9,1.20659,0.59539,0.84483,0.92004,0.81665,0.87959,0.59521,1.13191,0.53126,0.82935,0.0094654,0.0094654,0.0094654
56,17145.8,1.20801,0.59719,0.84516,0.92029,0.81742,0.88037,0.59582,1.1307,0.53025,0.82919,0.0094555,0.0094555,0.0094555
57,17447.2,1.20311,0.59467,0.84418,0.92104,0.81772,0.88074,0.59593,1.12918,0.52936,0.82893,0.0094456,0.0094456,0.0094456
58,17750.4,1.20422,0.5954,0.84447,0.92116,0.81857,0.8811,0.59635,1.12819,0.52849,0.82884,0.0094357,0.0094357,0.0094357
59,18053.5,1.1969,0.59109,0.84397,0.9211,0.8195,0.88152,0.59655,1.1272,0.52797,0.82867,0.0094258,0.0094258,0.0094258
60,18352.2,1.19909,0.5924,0.8437,0.92187,0.81975,0.88179,0.59746,1.12618,0.52732,0.82854,0.0094159,0.0094159,0.0094159
61,18661.4,1.19798,0.59185,0.84389,0.92216,0.82035,0.88237,0.59746,1.12519,0.52641,0.82837,0.009406,0.009406,0.009406
62,18985.2,1.19642,0.59065,0.84379,0.92327,0.8203,0.88278,0.5978,1.12404,0.52585,0.82819,0.0093961,0.0093961,0.0093961
63,19300.5,1.19901,0.59196,0.84379,0.92272,0.82104,0.88285,0.59805,1.12311,0.52505,0.82809,0.0093862,0.0093862,0.0093862
64,19605.7,1.19515,0.5898,0.84404,0.92346,0.82121,0.88314,0.59841,1.12217,0.52435,0.82794,0.0093763,0.0093763,0.0093763
65,19911.5,1.19451,0.5906,0.84378,0.92246,0.82243,0.88342,0.5987,1.12117,0.52384,0.82778,0.0093664,0.0093664,0.0093664
66,20220.4,1.19299,0.58958,0.8432,0.92291,0.82274,0.88378,0.59921,1.12025,0.52329,0.82766,0.0093565,0.0093565,0.0093565
67,20533.6,1.19214,0.5889,0.84334,0.9235,0.8232,0.88413,0.59963,1.11916,0.52279,0.82756,0.0093466,0.0093466,0.0093466
68,20846.6,1.19572,0.5896,0.84274,0.92364,0.82319,0.88428,0.59991,1.11834,0.52251,0.82746,0.0093367,0.0093367,0.0093367
69,21155.9,1.19532,0.59008,0.84304,0.92287,0.82397,0.88418,0.59992,1.1175,0.52198,0.82733,0.0093268,0.0093268,0.0093268
70,21465,1.19463,0.59003,0.84332,0.92293,0.82517,0.88479,0.60035,1.1167,0.52169,0.82724,0.0093169,0.0093169,0.0093169
71,21773.7,1.18898,0.58686,0.84272,0.92416,0.82443,0.88478,0.60049,1.11584,0.52134,0.82712,0.009307,0.009307,0.009307
72,22081.6,1.18918,0.5879,0.84218,0.9233,0.82609,0.88517,0.60081,1.11515,0.52086,0.82694,0.0092971,0.0092971,0.0092971
73,22400.2,1.18676,0.58571,0.84275,0.92372,0.82527,0.88526,0.60105,1.11432,0.52042,0.82681,0.0092872,0.0092872,0.0092872
74,22725.5,1.18753,0.58549,0.84248,0.92437,0.82628,0.88543,0.60117,1.11381,0.52022,0.82679,0.0092773,0.0092773,0.0092773
75,23063.3,1.18803,0.58512,0.84254,0.92427,0.82644,0.88553,0.6014,1.1132,0.5199,0.8267,0.0092674,0.0092674,0.0092674
76,23396.2,1.18946,0.58629,0.84201,0.92454,0.82645,0.8856,0.60159,1.11281,0.5194,0.8266,0.0092575,0.0092575,0.0092575
77,23709.7,1.18709,0.58518,0.84155,0.9254,0.8261,0.88554,0.60198,1.11238,0.51921,0.82654,0.0092476,0.0092476,0.0092476
78,24015.4,1.18756,0.58509,0.84203,0.92543,0.82601,0.88605,0.60212,1.11184,0.51893,0.82644,0.0092377,0.0092377,0.0092377
79,24324.2,1.18799,0.5847,0.84204,0.92482,0.82699,0.88612,0.60237,1.11128,0.51876,0.82637,0.0092278,0.0092278,0.0092278
80,24631.3,1.18475,0.58455,0.842,0.92426,0.8276,0.88634,0.60257,1.11063,0.51809,0.8263,0.0092179,0.0092179,0.0092179
81,24937.7,1.18576,0.58456,0.8419,0.92538,0.82685,0.8865,0.60291,1.11005,0.51785,0.82624,0.009208,0.009208,0.009208
82,25246.5,1.18175,0.58359,0.84128,0.92504,0.82725,0.88663,0.60281,1.10955,0.51751,0.82617,0.0091981,0.0091981,0.0091981
83,25544.5,1.1843,0.58331,0.84126,0.92619,0.82723,0.8869,0.60314,1.10899,0.51727,0.82609,0.0091882,0.0091882,0.0091882
84,25845.9,1.18276,0.58248,0.8412,0.92613,0.82809,0.88709,0.60354,1.10835,0.51692,0.82599,0.0091783,0.0091783,0.0091783
85,26148.2,1.18253,0.58249,0.84096,0.92586,0.82825,0.88723,0.60364,1.10782,0.51654,0.82597,0.0091684,0.0091684,0.0091684
86,26452.7,1.18212,0.58252,0.84122,0.92635,0.82812,0.88734,0.60384,1.10732,0.51653,0.82594,0.0091585,0.0091585,0.0091585
87,26760.3,1.18454,0.58296,0.8408,0.92669,0.82814,0.88751,0.60435,1.10658,0.51619,0.82587,0.0091486,0.0091486,0.0091486
88,27062.3,1.17725,0.58011,0.84136,0.92674,0.82808,0.88754,0.60442,1.10599,0.51574,0.8258,0.0091387,0.0091387,0.0091387
89,27358.6,1.17831,0.58025,0.84155,0.92689,0.82861,0.88761,0.60464,1.10539,0.51527,0.8258,0.0091288,0.0091288,0.0091288
